id,date_published,citation_count,estimated_citation_count,title,authors,fields
2029648951,1999-01-01,6022,20190,Decolonizing Methodologies: Research and Indigenous Peoples,"[{'DAuN': 'Linda Tuhiwai Smith', 'AuId': 2509397356, 'DAfN': '', 'AfId': None}]","[{'DFN': 'Indigenous education', 'FId': 2778566935}, {'DFN': 'Indigenous', 'FId': 55958113}, {'DFN': 'Traditional knowledge', 'FId': 514011633}, {'DFN': 'Colonialism', 'FId': 531593650}, {'DFN': 'Educational research', 'FId': 36727532}, {'DFN': 'Self-determination', 'FId': 96572226}, {'DFN': 'Whakapapa', 'FId': 2780738036}, {'DFN': 'Scholarship', 'FId': 2778061430}, {'DFN': 'Gender studies', 'FId': 107993555}, {'DFN': 'Political science', 'FId': 17744445}]"
2394939853,2005-01-01,1656,2625,The Discipline and Practice of Qualitative Research,"[{'DAuN': 'Norman K. Denzin', 'AuId': 1790936428, 'DAfN': '', 'AfId': None}, {'DAuN': 'Yvonna S. Lincoln', 'AuId': 1980230760, 'DAfN': '', 'AfId': None}]","[{'DFN': 'Qualitative research', 'FId': 190248442}, {'DFN': 'Engineering ethics', 'FId': 55587333}, {'DFN': 'Sociology', 'FId': 144024400}, {'DFN': 'Pedagogy', 'FId': 19417346}]"
2116846707,2009-10-06,434,1181,Suspending Damage: A Letter to Communities,"[{'DAuN': 'Eve Tuck', 'AuId': 2165230311, 'DAfN': 'State University of New York System', 'AfId': 1327163397}]","[{'DFN': 'Oppression', 'FId': 2776526686}, {'DFN': 'Social exclusion', 'FId': 134659438}, {'DFN': 'Accountability', 'FId': 2776007630}, {'DFN': 'Educational research', 'FId': 36727532}, {'DFN': 'Disadvantaged', 'FId': 2780623907}, {'DFN': 'Environmental ethics', 'FId': 95124753}, {'DFN': 'Theory of change', 'FId': 7340896}, {'DFN': 'Law', 'FId': 199539241}, {'DFN': 'Conflict resolution', 'FId': 21711469}, {'DFN': 'Sociology', 'FId': 144024400}, {'DFN': 'Perspective-taking', 'FId': 2780342009}]"
2134823012,2008-03-18,571,887,The Value and Challenges of Participatory Research: Strengthening Its Practice*‡,"[{'DAuN': 'Margaret Cargo', 'AuId': 1915065829, 'DAfN': 'Douglas Mental Health University Institute', 'AfId': 2799434747}, {'DAuN': 'Shawna L. Mercer', 'AuId': 3092267276, 'DAfN': 'Government of the United States of America', 'AfId': 2800421839}]","[{'DFN': 'Action research', 'FId': 53173841}, {'DFN': 'Participatory action research', 'FId': 140988679}, {'DFN': 'Knowledge translation', 'FId': 2777921204}, {'DFN': 'Community-based participatory research', 'FId': 2779909229}, {'DFN': 'Health services research', 'FId': 2780877353}, {'DFN': 'Empowerment evaluation', 'FId': 2778624230}, {'DFN': 'Added value', 'FId': 78244369}, {'DFN': 'Knowledge transfer', 'FId': 2776960227}, {'DFN': 'Knowledge management', 'FId': 56739046}, {'DFN': 'Political science', 'FId': 17744445}]"
2114497837,2009-12-01,464,1206,"Epistemic Disobedience, Independent Thought and Decolonial Freedom:","[{'DAuN': 'Walter D. Mignolo', 'AuId': 1580450474, 'DAfN': 'Duke University', 'AfId': 170897317}]","[{'DFN': 'First World', 'FId': 2778355732}, {'DFN': 'Hubris', 'FId': 99802516}, {'DFN': 'Racism', 'FId': 139838865}, {'DFN': 'Decoloniality', 'FId': 2780956412}, {'DFN': 'Latin Americans', 'FId': 158886217}, {'DFN': 'Epistemology', 'FId': 111472728}, {'DFN': 'Sociology', 'FId': 144024400}, {'DFN': 'Third world', 'FId': 3020591692}]"
1587761746,2014-05-19,227,724,Peaceland: Conflict Resolution and the Everyday Politics of International Intervention,"[{'DAuN': 'Severine Autesserre', 'AuId': 60149131, 'DAfN': 'Columbia University', 'AfId': 78577930}]","[{'DFN': 'Conflict resolution', 'FId': 21711469}, {'DFN': 'Politics', 'FId': 94625758}, {'DFN': 'Political science', 'FId': 17744445}, {'DFN': 'Political economy', 'FId': 138921699}, {'DFN': 'Inequality', 'FId': 45555294}, {'DFN': 'Social science', 'FId': 36289849}, {'DFN': 'Ethnography', 'FId': 179454799}, {'DFN': 'Host country', 'FId': 3019676932}]"
2114971411,2012-08-01,529,810,Where are Cultural and Social in Ecosystem Services? A Framework for Constructive Engagement,"[{'DAuN': 'Kai M. A. Chan', 'AuId': 2502223359, 'DAfN': 'University of British Columbia', 'AfId': 141945490}, {'DAuN': 'Anne D. Guerry', 'AuId': 2261790760, 'DAfN': 'Stanford University', 'AfId': 97018004}, {'DAuN': 'Patricia Balvanera', 'AuId': 232001832, 'DAfN': 'Ecología (SNI 2)', 'AfId': None}, {'DAuN': 'Sarah Klain', 'AuId': 2009136060, 'DAfN': 'University of British Columbia', 'AfId': 141945490}, {'DAuN': 'Terre Satterfield', 'AuId': 2067241419, 'DAfN': 'University of British Columbia', 'AfId': 141945490}, {'DAuN': 'Xavier Basurto', 'AuId': 221351932, 'DAfN': 'Duke University', 'AfId': 170897317}, {'DAuN': 'Ann Bostrom', 'AuId': 2139924617, 'DAfN': 'University of Washington', 'AfId': 201448701}, {'DAuN': 'Ratana Chuenpagdee', 'AuId': 181397755, 'DAfN': 'Memorial University of Newfoundland', 'AfId': 130438778}, {'DAuN': 'Rachelle Gould', 'AuId': 2110968943, 'DAfN': 'Stanford University', 'AfId': 97018004}, {'DAuN': 'Benjamin S. Halpern', 'AuId': 2116623389, 'DAfN': 'University of California, Santa Barbara', 'AfId': 154570441}, {'DAuN': 'Neil Hannahs', 'AuId': 276825823, 'DAfN': 'Land Assets Division', 'AfId': None}, {'DAuN': 'Jordan Levine', 'AuId': 2122710403, 'DAfN': 'University of British Columbia', 'AfId': 141945490}, {'DAuN': 'Bryan Norton', 'AuId': 2131978045, 'DAfN': 'Georgia Institute of Technology', 'AfId': 130701444}, {'DAuN': 'Mary Ruckelshaus', 'AuId': 2252138713, 'DAfN': 'Stanford University', 'AfId': 97018004}, {'DAuN': 'Roly Russell', 'AuId': 2703934800, 'DAfN': 'Sandhill Institute for Sustainability and Complexity', 'AfId': None}, {'DAuN': 'Jordan Tam', 'AuId': 2609197787, 'DAfN': 'University of British Columbia', 'AfId': 141945490}, {'DAuN': 'Ulalia Woodside', 'AuId': 1256899775, 'DAfN': 'Land Assets Division', 'AfId': None}]","[{'DFN': 'Magic bullet', 'FId': 2992152733}, {'DFN': 'Ecosystem services', 'FId': 58941895}, {'DFN': 'Ecosystem-based management', 'FId': 2779042980}, {'DFN': 'Resource management', 'FId': 9765861}, {'DFN': 'Valuation (finance)', 'FId': 186027771}, {'DFN': 'Marine spatial planning', 'FId': 2780362636}, {'DFN': 'Constructive engagement', 'FId': 2777746837}, {'DFN': 'Environmental resource management', 'FId': 107826830}, {'DFN': 'Business', 'FId': 144133560}, {'DFN': 'Ecosystem', 'FId': 110872660}]"
2122062477,2006-10-18,795,1737,Resilience across Cultures,"[{'DAuN': 'Michael Ungar', 'AuId': 1232774960, 'DAfN': 'Dalhousie University', 'AfId': 129902397}]","[{'DFN': 'Psychological resilience', 'FId': 137176749}, {'DFN': 'Ecological systems theory', 'FId': 47318914}, {'DFN': 'Cross-cultural studies', 'FId': 199869022}, {'DFN': 'Psychological intervention', 'FId': 27415008}, {'DFN': 'Developmental psychology', 'FId': 138496976}, {'DFN': 'Social psychology', 'FId': 77805123}, {'DFN': 'Psychology', 'FId': 15744967}]"
65857465,2005-03-01,502,1059,The embodiment of inequity: health disparities in aboriginal Canada.,"[{'DAuN': 'Naomi Adelson', 'AuId': 1970561049, 'DAfN': 'York University', 'AfId': 192455969}]","[{'DFN': 'Health equity', 'FId': 2250968}, {'DFN': 'Race and health', 'FId': 104977270}, {'DFN': 'Public health', 'FId': 138816342}, {'DFN': 'Health services research', 'FId': 2780877353}, {'DFN': 'Population', 'FId': 2908647359}, {'DFN': 'Social class', 'FId': 110888244}, {'DFN': 'Life expectancy', 'FId': 133925201}, {'DFN': 'Well-being', 'FId': 2776420229}, {'DFN': 'Economic growth', 'FId': 50522688}, {'DFN': 'Gerontology', 'FId': 74909509}, {'DFN': 'Political science', 'FId': 17744445}]"
2155598412,2016-09-22,200,307,Talanoa Research Methodology: A Developing Position on Pacific Research,"[{'DAuN': 'Timote Masima Vaioleti', 'AuId': 2012821395, 'DAfN': 'University of Waikato', 'AfId': 52179390}]","[{'DFN': 'Aotearoa', 'FId': 2781227721}, {'DFN': 'Indigenous', 'FId': 55958113}, {'DFN': 'Social issues', 'FId': 53001019}, {'DFN': 'Sociology', 'FId': 144024400}, {'DFN': 'Environmental ethics', 'FId': 95124753}, {'DFN': 'Gender studies', 'FId': 107993555}, {'DFN': 'Normality', 'FId': 2776157432}, {'DFN': 'Research methodology', 'FId': 2986817661}]"
